ulx,uly,urx,ury,llx,lly,lrx,lry,text
399,1399,505,1399,399,1418,505,1418,Apr-28-2016
547,1399,653,1399,547,1413,653,1413,285259.0001
719,1398,787,1398,719,1415,787,1415,"1,020.82"
853,1397,898,1396,853,1413,898,1412,51.04
1031,1397,1066,1397,1031,1411,1066,1411,0.00
1157,1396,1226,1396,1157,1414,1226,1414,"1,071.86"
157,1424,267,1425,157,1439,267,1440,023829-0000
66,1450,106,1450,66,1465,106,1465,2015
161,1450,200,1450,161,1464,200,1464,5053
258,1449,374,1450,258,1464,374,1465,1071276.0000
400,1449,505,1449,400,1468,505,1468,Apr-29-2016
537,1449,653,1449,537,1464,653,1464,6008808.0001
733,1448,787,1448,733,1463,787,1463,937.83
854,1448,898,1448,854,1463,898,1463,75.22
1031,1447,1066,1447,1031,1462,1066,1462,0.00
1157,1447,1226,1446,1157,1464,1226,1463,"1,013.05"
157,1474,268,1475,157,1490,268,1491,030107-0000
67,1500,106,1500,67,1515,106,1515,2015
161,1501,200,1501,161,1515,200,1515,5185
258,1499,374,1500,258,1515,374,1516,1072132.0000
397,1498,508,1499,397,1519,508,1520,May-05-2016
537,1500,653,1500,537,1514,653,1514,6009156.0001
733,1499,787,1499,733,1514,787,1514,777.09
854,1497,899,1498,854,1513,899,1514,38.85
1031,1498,1066,1498,1031,1512,1066,1512,0.00
1171,1496,1226,1496,1171,1511,1226,1511,815.94
157,1526,268,1526,157,1540,268,1540,030851-0000
